filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,459,539,55,83
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Handwritting,3,51,43,76
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Handwritting,36,83,79,110
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,91,157,32,45
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,250,408,570,592
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Handwritting,476,568,139,206
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,459,585,47,72
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Handwritting,0,32,111,140
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,190,423,17,40
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,266,609,92,131
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,505,584,588,610
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,82,587,331,382
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Signature,476,569,138,204
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,81,583,379,437
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,76,584,446,522
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,85,570,509,558
AGN_DFS_C.48_De_los_Rios_Merino_Alicia_pg-093.jpg,640,640,Letters,71,592,199,322
