filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,103,271,431,476
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,107,237,294,318
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,105,239,256,279
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,339,524,410,454
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,100,234,167,192
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,104,235,208,235
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Handwritting,30,90,536,571
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,105,262,499,528
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Handwritting,477,522,535,568
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,104,240,365,395
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,108,264,414,441
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,311,527,166,213
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,338,530,502,537
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Handwritting,412,496,131,165
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,317,521,218,265
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,336,538,448,500
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,332,518,368,415
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Letters,330,530,294,361
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-288_jpg.rf.cf4736ff00a383525a208cc6fbb273f9.jpg,640,640,Stamp,47,124,106,169
