filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,307,403,517,546
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,134,260,419,448
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,140,223,500,524
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Letters,321,538,355,396
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,306,404,367,396
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,138,226,485,514
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,141,255,265,286
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Letters,318,440,329,366
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Stamp,502,545,474,520
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,133,258,403,441
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,137,226,521,550
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,140,194,334,381
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Handwritting,54,98,511,573
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Letters,313,535,289,330
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,308,406,451,483
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,296,359,293,321
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Letters,145,518,191,253
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Lines,135,259,447,473
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Handwritting,390,498,150,197
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-243_jpg.rf.2269aa883984982d6a1ba25daa67ce41.jpg,640,640,Stamp,79,157,118,181
